Id,Label,Size,modularity_class
permanent polynomial,permanent polynomial,1,8
dose-response,dose-response,7,3
group testing,group testing,4,1
mobius parameterization,mobius parameterization,1,7
covariates,covariates,1,8
posterior asymptotics,posterior asymptotics,2,4
causal diagram,causal diagram,3,1
convex set,convex set,2,1
jumps,jumps,12,7
stochastic frontier model,stochastic frontier model,1,6
nonexchangeable prior,nonexchangeable prior,1,8
quadratic discrimination,quadratic discrimination,1,5
order sensitivity,order sensitivity,1,7
brown-resnick process,brown-resnick process,2,1
testing.,testing.,1,6
epidemiologic study,epidemiologic study,1,4
sparse factor models,sparse factor models,1,1
rasch model,rasch model,7,8
averaging window,averaging window,1,6
ordinary least squares,ordinary least squares,3,6
elliptical extremes,elliptical extremes,1,0
voronoi tessellation,voronoi tessellation,2,0
order-restricted inference,order-restricted inference,8,5
indirect effect,indirect effect,3,1
multivariate bernoulli mixture,multivariate bernoulli mixture,2,5
subset selection,subset selection,7,0
influence measure,influence measure,2,0
quasi-randomization,quasi-randomization,2,7
scalable inference,scalable inference,1,7
latent,latent,1,8
point forecast,point forecast,1,7
sign consistency,sign consistency,3,0
trigonometric moment,trigonometric moment,1,5
spatial cross-covariance functions,spatial cross-covariance functions,1,0
gene set,gene set,1,4
interanimal variability,interanimal variability,1,0
limiting spectral distribution,limiting spectral distribution,1,6
antedependence,antedependence,1,7
cofactor rule,cofactor rule,2,7
hydrocarbon reservoir,hydrocarbon reservoir,1,6
bridge sampling,bridge sampling,3,8
mode estimator,mode estimator,1,3
seminal vesicle positivity,seminal vesicle positivity,1,6
domain-based representation,domain-based representation,1,3
odds ratio,odds ratio,6,3
ikenet dataset,ikenet dataset,1,2
serial correlation,serial correlation,2,8
asymptotic normality,asymptotic normality,85,0
swedish mortality,swedish mortality,1,4
are discussed,are discussed,1,6
crossvalidation mean,crossvalidation mean,1,3
contour integral representation,contour integral representation,1,1
intensity estimation,intensity estimation,3,2
process models,process models,1,0
longrange dependence,longrange dependence,1,5
bayesian robustness,bayesian robustness,5,4
average run lengths,average run lengths,1,2
using a,using a,1,0
monotone,monotone,2,0
efficient influence curve,efficient influence curve,1,8
sequential bahadur-kiefer process,sequential bahadur-kiefer process,1,1
minkowski content,minkowski content,1,7
fmri,fmri,4,5
separation measures,separation measures,1,7
structure equation model,structure equation model,1,3
misspecified mixing distribution,misspecified mixing distribution,1,2
grouped data,grouped data,2,3
large-dimensional asymptotics,large-dimensional asymptotics,1,7
surrogate variable analysis,surrogate variable analysis,2,6
frequentist strong merging,frequentist strong merging,1,6
outcome-dependent,outcome-dependent,1,0
regenerative compositions,regenerative compositions,1,6
basis spline,basis spline,1,7
low rank matrices,low rank matrices,1,6
geometry in,geometry in,1,6
bayesian nonparametric consistency,bayesian nonparametric consistency,1,4
batch effect,batch effect,2,5
stunting,stunting,1,4
joint rankings,joint rankings,1,1
statistical smoothing,statistical smoothing,7,2
spectrogram,spectrogram,2,1
trace regression,trace regression,3,2
frequency data,frequency data,1,5
sequential parameter learning,sequential parameter learning,1,2
statistical machine learning,statistical machine learning,1,2
complex sample survey,complex sample survey,1,8
profile likelihood,profile likelihood,44,5
functional data,functional data,47,3
ultra-high dimension,ultra-high dimension,1,6
generalized step-up-step-down procedure,generalized step-up-step-down procedure,1,1
arithmetic progression,arithmetic progression,1,5
bush's construction,bush's construction,1,3
relative quantile,relative quantile,1,1
distribution-free test,distribution-free test,2,1
cox regression model,cox regression model,3,0
restrictions on,restrictions on,1,0
nonsmooth minimization,nonsmooth minimization,1,5
mean-squared prediction error,mean-squared prediction error,2,0
heteroscedastic model,heteroscedastic model,1,4
monotone likelihood ratio,monotone likelihood ratio,3,7
matrix uncertainty selector,matrix uncertainty selector,1,4
attributable effect,attributable effect,3,2
parametric inverse regression,parametric inverse regression,2,2
non-linear time series,non-linear time series,5,1
mean pattern estimation,mean pattern estimation,1,2
principal submatrix,principal submatrix,1,8
rates of convergence,rates of convergence,17,6
goodness-of-fit,goodness-of-fit,15,2
expectation-maximization algorithm,expectation-maximization algorithm,10,5
causality in variance,causality in variance,1,3
mle,mle,3,7
financial returns,financial returns,1,3
partition models,partition models,1,2
two-parameter hoppe urn,two-parameter hoppe urn,1,7
effect ratio,effect ratio,2,6
salamander mating data,salamander mating data,1,0
lack of fit,lack of fit,4,7
duration model,duration model,1,4
long- and,long- and,2,6
multivariate trimmed means,multivariate trimmed means,1,2
red banana,red banana,1,6
parametricness index (pi),parametricness index (pi),1,4
relative risk estimation,relative risk estimation,1,1
variance balance,variance balance,2,2
on predictor,on predictor,1,1
kronecker index,kronecker index,1,4
arnold and groeneveld skewness measure,arnold and groeneveld skewness measure,1,8
thin-plate splines,thin-plate splines,1,0
linear quantile regression,linear quantile regression,2,2
spectral means,spectral means,2,0
structural markov laws,structural markov laws,1,5
algorithm,algorithm,3,2
local quadratic model,local quadratic model,1,2
sequential testing,sequential testing,2,3
high dimensional inference,high dimensional inference,3,5
generalized gradient descent,generalized gradient descent,1,1
quasi-likelihood estimator,quasi-likelihood estimator,1,0
heterogeneous components,heterogeneous components,1,3
commutative kinematics,commutative kinematics,1,5
varying-coefficient regression model,varying-coefficient regression model,1,6
multidimensional nonparametric estimation,multidimensional nonparametric estimation,1,2
local polynomial smoothing,local polynomial smoothing,10,1
reversible jumps,reversible jumps,1,5
natural parameter,natural parameter,1,4
nonlinear least squares,nonlinear least squares,2,5
differential-geometric least,differential-geometric least,1,5
equivalence test,equivalence test,2,3
hajek estimator,hajek estimator,1,7
robust estimates,robust estimates,1,7
exponential families,exponential families,5,4
error-in-variables,error-in-variables,1,1
magnetic resonance imaging,magnetic resonance imaging,1,7
detection,detection,3,5
slex model,slex model,1,1
treasury bond,treasury bond,1,7
noise level,noise level,1,3
multiple traits,multiple traits,1,8
hilbert-schmidt norm,hilbert-schmidt norm,1,8
conditional error,conditional error,2,8
multiple outliers,multiple outliers,1,6
covariance tapering,covariance tapering,3,2
canonical efficiency factor,canonical efficiency factor,1,8
ar model,ar model,1,6
low-sample-size data,low-sample-size data,1,0
project trial,project trial,1,0
smoothing parameter uncertainty,smoothing parameter uncertainty,1,3
treatment contrasts,treatment contrasts,1,3
survey data,survey data,4,5
vine copula,vine copula,1,6
collapsibility,collapsibility,2,2
hybrid inference,hybrid inference,1,5
robust segment detector,robust segment detector,1,8
model checking,model checking,11,3
hyper markov property,hyper markov property,1,3
bipolar theorem,bipolar theorem,1,5
bayesian nonparametric models,bayesian nonparametric models,1,6
unwanted variation,unwanted variation,1,3
spherical uniform distribution,spherical uniform distribution,2,5
log-concave likelihood function,log-concave likelihood function,1,5
unobservable heterogeneity,unobservable heterogeneity,1,2
origin-destination traffic matrix,origin-destination traffic matrix,1,6
overfitting,overfitting,1,5
bayes estimates,bayes estimates,1,2
multilayer,multilayer,1,4
imbalanced learning,imbalanced learning,1,1
sharp oracle inequality,sharp oracle inequality,1,5
randomized allocation,randomized allocation,1,3
mixtures of t-distributions,mixtures of t-distributions,1,8
prediction error rate,prediction error rate,1,2
federal reserve,federal reserve,1,2
matching priors,matching priors,2,4
poisson-normal distribution,poisson-normal distribution,1,1
exceedances,exceedances,1,3
ergodic diffusion,ergodic diffusion,2,8
conditional limiting distribution,conditional limiting distribution,1,8
corrected estimating equation,corrected estimating equation,1,5
random projection,random projection,4,8
probability integral transformation,probability integral transformation,1,0
tradition model,tradition model,1,4
length (mdl),length (mdl),1,4
barcodes,barcodes,1,8
two-phase stratified,two-phase stratified,1,1
phd,phd,3,7
irregular model,irregular model,1,5
euler characteristic,euler characteristic,5,3
multiple outcomes,multiple outcomes,4,0
studentized statistics,studentized statistics,3,8
experimental data,experimental data,1,0
world record,world record,1,5
bayesian predictive distribution,bayesian predictive distribution,1,1
accelerated failure time,accelerated failure time,3,8
maximum pseudolikelihood method,maximum pseudolikelihood method,1,8
agricultural field trial,agricultural field trial,1,1
semiparametric bayesian statistics,semiparametric bayesian statistics,1,2
relatively invariant measure,relatively invariant measure,1,1
forecast efficiency,forecast efficiency,1,1
hazard rate,hazard rate,2,6
sequential experiment,sequential experiment,1,7
infinite mixture,infinite mixture,1,1
asymptotic optimality,asymptotic optimality,15,8
quantile coupling,quantile coupling,4,5
maximum rank correlation,maximum rank correlation,1,0
transformation to normality,transformation to normality,1,0
weighting,weighting,4,6
quantitative traits,quantitative traits,1,3
white-noise model,white-noise model,3,4
expectation propagation,expectation propagation,2,4
kernel density,kernel density,4,3
varying-coefficient model,varying-coefficient model,12,1
laplace transform method,laplace transform method,1,8
finite population,finite population,3,4
rotation,rotation,5,4
invariance principle,invariance principle,3,4
rankboost,rankboost,1,1
multi-sensor,multi-sensor,1,2
time warping,time warping,6,7
repeated measurement data,repeated measurement data,1,1
moving average errors,moving average errors,1,3
random designs,random designs,1,2
mise,mise,3,7
kronecker product,kronecker product,3,4
gaussian white noise,gaussian white noise,2,2
canonical correlation analysis,canonical correlation analysis,4,2
linear mixed models,linear mixed models,2,0
gmm,gmm,1,6
row generator-transformation design,row generator-transformation design,1,8
high-frequency,high-frequency,2,1
controlled sampling,controlled sampling,2,0
discrete barrier,discrete barrier,1,5
optimal treatment,optimal treatment,2,7
minimum distance,minimum distance,1,4
astronomy,astronomy,4,3
latent factor analyzers,latent factor analyzers,1,3
manifold optimization,manifold optimization,1,6
decomposable graph,decomposable graph,1,8
quaternary-code design,quaternary-code design,1,2
deformable templates,deformable templates,1,1
monitoring and,monitoring and,1,1
convex programming,convex programming,2,5
continuous auto-regressive,continuous auto-regressive,1,0
missing response,missing response,4,7
multiple phenotypes,multiple phenotypes,1,6
graph-theoretic procedure,graph-theoretic procedure,1,6
empirical bayes,empirical bayes,38,3
optimal parametric estimation,optimal parametric estimation,1,6
infinite cluster sizes,infinite cluster sizes,2,6
geyser data,geyser data,1,4
recurrent event data,recurrent event data,1,7
predictive p-value,predictive p-value,1,8
compact submanifold of euclidean space,compact submanifold of euclidean space,1,0
small error regime,small error regime,1,0
optimal mgp estimation,optimal mgp estimation,1,2
all pairwise comparisons,all pairwise comparisons,1,8
sleep eeg,sleep eeg,1,0
tensor decomposition,tensor decomposition,1,8
average treatment effect,average treatment effect,6,5
wavelet thresholding,wavelet thresholding,6,2
africa,africa,1,5
stochastic volatility models,stochastic volatility models,1,7
marginal balance,marginal balance,1,3
ising model,ising model,9,7
rescaling,rescaling,2,8
pseudo-maximum likelihood,pseudo-maximum likelihood,1,1
gibbs sampling,gibbs sampling,30,4
likelihood inference,likelihood inference,10,4
higher-order asymptotic theory,higher-order asymptotic theory,2,8
odds-rate models,odds-rate models,1,6
empirical distributions,empirical distributions,1,3
compositions,compositions,1,7
long-run structural,long-run structural,1,4
poisson trick,poisson trick,1,0
imputation method,imputation method,1,8
censored predictor,censored predictor,1,7
moment-matching bootstrap,moment-matching bootstrap,2,0
regular conditional distribution,regular conditional distribution,1,7
dd-plot,dd-plot,2,4
diffusion tensor imaging,diffusion tensor imaging,2,4
normal-gamma prior,normal-gamma prior,1,6
causal structure learning,causal structure learning,1,8
curvature,curvature,3,0
lattice data,lattice data,2,3
microbiome data analysis,microbiome data analysis,1,5
primary endpoint,primary endpoint,1,7
inverse-probability-weighted estimation,inverse-probability-weighted estimation,1,8
logistic odds model,logistic odds model,1,8
alignment,alignment,2,3
functional outlier detection,functional outlier detection,1,0
of fit,of fit,1,0
superefficiency,superefficiency,1,7
multiphase sampling,multiphase sampling,1,7
data sharpening,data sharpening,3,5
ito semimartingale,ito semimartingale,5,5
interexceedance times,interexceedance times,1,4
recursive estimation,recursive estimation,2,4
partial dimension reduction,partial dimension reduction,1,5
drug discovery,drug discovery,1,5
varying-coefficient partially,varying-coefficient partially,1,5
endometrial cancer,endometrial cancer,1,2
reflected brownian motion,reflected brownian motion,1,6
hadamard space,hadamard space,1,8
variable grouping,variable grouping,1,5
spatial sampling design,spatial sampling design,1,5
banded covariance matrix,banded covariance matrix,1,7
social network,social network,8,1
longitudinal data analysis,longitudinal data analysis,10,0
joint inference,joint inference,1,8
stochastic volatility model,stochastic volatility model,2,1
deviations estimator,deviations estimator,1,2
plug-in property,plug-in property,2,2
coverage probability,coverage probability,19,8
higher criticism alternative,higher criticism alternative,1,3
empirical best linear unbiased prediction,empirical best linear unbiased prediction,3,5
bootstrap confidence set,bootstrap confidence set,1,0
intensity model,intensity model,2,0
cyclic generators,cyclic generators,1,7
active control,active control,2,6
small interval asymptotics,small interval asymptotics,1,7
backcross experiments,backcross experiments,1,4
bounds on,bounds on,1,6
immune response monitoring,immune response monitoring,1,6
tessellation,tessellation,1,5
statistical distance,statistical distance,2,8
ebbs,ebbs,1,3
high-frequency sampling,high-frequency sampling,1,2
public-use data,public-use data,1,5
validation sampling,validation sampling,1,6
machine vision,machine vision,2,7
function test,function test,1,7
combined classifier,combined classifier,1,0
tessellation stratified sampling,tessellation stratified sampling,1,8
svd,svd,1,7
ornstein-uhlenbeck processes,ornstein-uhlenbeck processes,1,8
genetic data,genetic data,2,2
modified em test,modified em test,1,2
particulate matter,particulate matter,4,4
primary symmetry point,primary symmetry point,1,5
continuous and,continuous and,1,0
stationary sequences,stationary sequences,1,3
inverse propensity,inverse propensity,2,7
unordered categorical,unordered categorical,1,0
logistic,logistic,2,3
linearity condition,linearity condition,3,6
d-optimal,d-optimal,1,3
proportional covariance matrices,proportional covariance matrices,1,0
resource limited,resource limited,1,3
nonparametric bayesian statistics,nonparametric bayesian statistics,2,0
matrix theory,matrix theory,2,1
accept-reject,accept-reject,1,6
mean and,mean and,1,2
m,m,2,3
hiv drug,hiv drug,1,6
conditional graphical model,conditional graphical model,1,5
epidemiology,epidemiology,4,6
inhomogeneous hidden,inhomogeneous hidden,1,2
stochastic blockmodeling,stochastic blockmodeling,1,5
garotte,garotte,1,6
perturbation-resampling,perturbation-resampling,1,4
dichotomised gaussian distribution,dichotomised gaussian distribution,1,3
multiple covariate,multiple covariate,1,6
smoothing parameters,smoothing parameters,1,8
constant conditional correlation,constant conditional correlation,1,8
expressed sequence tags,expressed sequence tags,1,3
minimax bayes estimation,minimax bayes estimation,1,7
sufficiency,sufficiency,6,5
priestley-chao estimator,priestley-chao estimator,1,5
linear rank statistic,linear rank statistic,1,8
initial value,initial value,1,2
portfolio volatility,portfolio volatility,1,4
sequential ignorability,sequential ignorability,2,7
1) model,1) model,1,5
matched sampling,matched sampling,5,4
autoregressive correlation structure,autoregressive correlation structure,1,5
efficient maximin power,efficient maximin power,1,5
james-stein shrinkage estimator,james-stein shrinkage estimator,1,5
case and,case and,1,0
surrogate data,surrogate data,1,2
parameter restriction,parameter restriction,1,4
uncertainty quantification,uncertainty quantification,12,7
fisher information,fisher information,6,3
model building,model building,1,6
central limit theorem,central limit theorem,36,4
correlated observations,correlated observations,5,6
expression index,expression index,1,6
weighing schemes,weighing schemes,1,7
semiparametric transformation models,semiparametric transformation models,1,5
reverse martingale,reverse martingale,1,4
nonparametric alternative,nonparametric alternative,2,0
nonconvex regularized m-estimation,nonconvex regularized m-estimation,1,6
test of independence,test of independence,1,8
reduced-rank model,reduced-rank model,1,3
distributional robustness,distributional robustness,1,1
augmented ipw,augmented ipw,1,7
volatility estimation,volatility estimation,1,2
two-factor interaction,two-factor interaction,2,5
grouped survival data,grouped survival data,1,0
corrected-bias estimator,corrected-bias estimator,1,5
location families,location families,1,1
gaussian markov,gaussian markov,9,1
profile-likelihood,profile-likelihood,1,8
absolute deviation,absolute deviation,17,7
deterministic model,deterministic model,1,0
subdistribution hazard,subdistribution hazard,1,6
heredity structure,heredity structure,2,3
random-scan sampler,random-scan sampler,1,3
multiple time series,multiple time series,4,7
bootstrap model selection,bootstrap model selection,1,1
bayes procedures,bayes procedures,1,6
poverty rate,poverty rate,1,3
increasing dimension,increasing dimension,1,7
hiv data,hiv data,2,1
uncertain sample,uncertain sample,1,5
intermediate variables,intermediate variables,1,8
analytic and,analytic and,1,1
strong oracle property,strong oracle property,1,0
statistical robustness,statistical robustness,1,8
gamma-fdp,gamma-fdp,1,8
microbial growth kinetics,microbial growth kinetics,1,5
spatial inhomogeneities,spatial inhomogeneities,1,0
model degeneracy,model degeneracy,1,7
histogram sieve,histogram sieve,1,2
transformation regression models,transformation regression models,1,0
full-scale approximation,full-scale approximation,1,2
convex clustering,convex clustering,1,8
complete case,complete case,1,3
multivariate probability distribution,multivariate probability distribution,1,7
one-way random,one-way random,1,0
sparse random graph,sparse random graph,1,4
symmetry model,symmetry model,1,2
regression graphics,regression graphics,4,2
kernel estimators,kernel estimators,4,1
quantile transform,quantile transform,1,5
tau-estimates,tau-estimates,1,7
marenko-pastur law,marenko-pastur law,1,8
marcenko-pastur distribution,marcenko-pastur distribution,1,7
multivariate stochastic volatility,multivariate stochastic volatility,1,6
stratified permuted block,stratified permuted block,1,3
rubin's causal model,rubin's causal model,1,7
reinforced random walk,reinforced random walk,1,5
informative observation process,informative observation process,1,5
temperature anomaly,temperature anomaly,1,1
sequential tests,sequential tests,1,7
levy measure,levy measure,6,7
stochastic order,stochastic order,3,3
stump function,stump function,1,6
incomplete cholesky decomposition,incomplete cholesky decomposition,1,1
tail of the binomial distribution,tail of the binomial distribution,1,3
combination test,combination test,3,1
matrix argument,matrix argument,1,3
particle markov,particle markov,1,2
cumulative mean estimation,cumulative mean estimation,1,6
resampling plan,resampling plan,1,5
expectile,expectile,3,0
false discovery rates,false discovery rates,1,3
simpls,simpls,1,8
arfima,arfima,1,4
latent factor regression,latent factor regression,1,6
transition method,transition method,1,8
fractional integration,fractional integration,2,0
cholesky factorization,cholesky factorization,1,5
covariance graphs,covariance graphs,1,2
cyclic basis,cyclic basis,1,1
mutation,mutation,1,7
expectation-maximization algorithm.,expectation-maximization algorithm.,1,0
survey weights,survey weights,2,8
proper scoring rule,proper scoring rule,5,1
hazard model,hazard model,4,2
bias correction,bias correction,9,3
recovery of information,recovery of information,1,4
iterated logarithm,iterated logarithm,1,6
bayesian k,bayesian k,1,3
defining contrasts,defining contrasts,1,6
multiresolution,multiresolution,3,2
parkin mutation,parkin mutation,1,0
loglikelihood ratio,loglikelihood ratio,1,1
biomedical imaging,biomedical imaging,1,3
kurtosis,kurtosis,3,4
cancer screening,cancer screening,2,8
cause-specific hazard,cause-specific hazard,4,4
empirical null,empirical null,4,5
design density,design density,1,2
lanczos algorithm,lanczos algorithm,1,1
neighbours,neighbours,1,5
subjective probability,subjective probability,2,2
positive definite kernel,positive definite kernel,1,1
positive regression dependent,positive regression dependent,1,4
fractional factorial design,fractional factorial design,10,6
reversible-jump markov chain monte carlo,reversible-jump markov chain monte carlo,6,8
concentration phenomenon,concentration phenomenon,1,5
adding column technique,adding column technique,1,0
single-index models,single-index models,9,6
treatment effect heterogeneity,treatment effect heterogeneity,3,2
multivariate density estimation,multivariate density estimation,3,4
nonstationary process,nonstationary process,3,0
permutation symmetry,permutation symmetry,1,6
robust distance,robust distance,1,3
generalized hochberg procedure,generalized hochberg procedure,1,5
o-completeness,o-completeness,1,7
data-generating equation,data-generating equation,1,0
chernoff information,chernoff information,1,8
statistical significance,statistical significance,2,5
longitudinal model,longitudinal model,4,1
queueing science,queueing science,1,8
nonmixture cure model,nonmixture cure model,1,2
matern class,matern class,4,7
testing on,testing on,1,6
shrinkage operator,shrinkage operator,1,6
modulation estimator,modulation estimator,1,8
extended exponential families,extended exponential families,1,4
quantum sufficiency,quantum sufficiency,1,4
semiparametric quasi-likelihood regression,semiparametric quasi-likelihood regression,1,6
spectral regularization,spectral regularization,1,6
folded concave penalties,folded concave penalties,1,8
nondecimated wavelet transform,nondecimated wavelet transform,1,5
qualitative assumptions,qualitative assumptions,2,3
covariance modelling,covariance modelling,2,8
invariance and equivariance,invariance and equivariance,1,2
multiarm trials,multiarm trials,1,0
weighted estimating function,weighted estimating function,1,3
robust designs,robust designs,1,0
random process,random process,1,8
parametric estimation,parametric estimation,1,5
sequence,sequence,1,6
space-time etas model,space-time etas model,1,6
air pollution,air pollution,7,5
plurality voting,plurality voting,1,8
normalized inverse,normalized inverse,1,1
liouville-green,liouville-green,1,4
recursive density estimation,recursive density estimation,1,8
wavelet estimators,wavelet estimators,1,0
gaussianity,gaussianity,2,5
probability weighting,probability weighting,3,8
posterior probability of discovering a new species,posterior probability of discovering a new species,2,2
complementarity,complementarity,1,7
small n,small n,19,0
qualitative hypotheses,qualitative hypotheses,1,8
least angle regression,least angle regression,7,3
arnason-schwarz,arnason-schwarz,1,4
deconvolution density estimators,deconvolution density estimators,1,2
unit root,unit root,4,5
phylogenetic tree,phylogenetic tree,1,6
ky fan norm,ky fan norm,1,8
simultaneous testing,simultaneous testing,1,0
and testing,and testing,1,0
smooth functions,smooth functions,1,5
matrix-variate normal,matrix-variate normal,1,7
effect erosion,effect erosion,1,3
misleading evidence,misleading evidence,1,2
likelihood process,likelihood process,1,2
upper confidence bound,upper confidence bound,1,8
vote predictions,vote predictions,2,3
grouped hypotheses,grouped hypotheses,3,4
sign problem,sign problem,1,5
planted clique problem,planted clique problem,2,2
emax model,emax model,2,7
adaptive rejection sampling,adaptive rejection sampling,1,5
hodges-lehmann estimate,hodges-lehmann estimate,2,4
vaccine efficacy,vaccine efficacy,1,8
random effect modelling,random effect modelling,1,7
majorization-minimization algorithm,majorization-minimization algorithm,1,3
capture-recapture,capture-recapture,13,6
heteroscedastic errors,heteroscedastic errors,2,3
of designs,of designs,1,7
parallelotope,parallelotope,1,8
residential mobility,residential mobility,1,3
discrete distributions,discrete distributions,2,8
polyhedral cones,polyhedral cones,1,6
linking parameter,linking parameter,1,3
cause-specific censoring,cause-specific censoring,1,4
structured sparsity,structured sparsity,1,2
equal percent bias reducing (epbr),equal percent bias reducing (epbr),1,0
study of women across the nation (swan),study of women across the nation (swan),1,5
independence sampler,independence sampler,1,5
curse of dimensionality,curse of dimensionality,6,7
exact algorithm,exact algorithm,1,8
spillovers,spillovers,1,0
polytope of,polytope of,1,4
positive regression dependency on subset,positive regression dependency on subset,1,8
autocovariance matrix,autocovariance matrix,1,7
kernel smoothing estimation,kernel smoothing estimation,1,8
m-estimators,m-estimators,7,7
compound poisson process,compound poisson process,2,6
environmental sampling,environmental sampling,2,4
almost sure convergence,almost sure convergence,2,6
modes of variation,modes of variation,1,4
orthogonal processes,orthogonal processes,1,1
breakdown number,breakdown number,1,5
nonlinear data space,nonlinear data space,1,6
conditional probability,conditional probability,2,7
dependence modeling,dependence modeling,1,6
inverse weighted probability,inverse weighted probability,1,0
convex function,convex function,3,1
reflection,reflection,2,5
nonconvex penalty,nonconvex penalty,2,3
association studies,association studies,1,2
care in,care in,1,1
multidimensional array,multidimensional array,2,2
stochastic process,stochastic process,9,3
permutation inference,permutation inference,2,4
permutation,permutation,5,8
bias-corrected group lasso,bias-corrected group lasso,1,7
spatially-misaligned data,spatially-misaligned data,1,1
state space models,state space models,8,8
l-p penalty,l-p penalty,1,8
homoscedasticity testing,homoscedasticity testing,1,3
process model,process model,1,7
stepwise knot selection,stepwise knot selection,1,7
extremal eigenvalues,extremal eigenvalues,1,2
wavelet analysis,wavelet analysis,4,5
petersen graph,petersen graph,1,8
cube-root asymptotics,cube-root asymptotics,2,3
location-scale estimation,location-scale estimation,1,4
comparative effectiveness,comparative effectiveness,1,2
error bounds,error bounds,2,5
pc-algorithm,pc-algorithm,2,0
golay sequence,golay sequence,1,6
trinomial distribution,trinomial distribution,1,4
multiple regression,multiple regression,3,3
generalized additive models,generalized additive models,7,7
algorithm-based design,algorithm-based design,1,3
regression quantiles,regression quantiles,5,7
sequence estimation,sequence estimation,1,8
tail-greediness,tail-greediness,1,1
numerical weather forecast,numerical weather forecast,1,1
lag window estimator,lag window estimator,1,2
elliptical copula,elliptical copula,1,0
generalised crossvalidation,generalised crossvalidation,2,6
mesa neighborhood study,mesa neighborhood study,1,2
non-gaussian time series,non-gaussian time series,1,2
nonregular problem,nonregular problem,1,1
mean squared deviation,mean squared deviation,1,1
decreasing density,decreasing density,2,5
global data,global data,1,5
inference on termination,inference on termination,1,1
monte carlo score,monte carlo score,1,4
representation,representation,1,2
least-squares estimation,least-squares estimation,1,1
kernel smoothing model,kernel smoothing model,1,5
spectral clustering,spectral clustering,15,7
nonlinear principal components,nonlinear principal components,1,4
contraction mapping,contraction mapping,1,5
directional errors,directional errors,1,1
signal analysis,signal analysis,2,3
bayesian nonparametric,bayesian nonparametric,7,3
resistant estimators,resistant estimators,1,1
nonparametric identification,nonparametric identification,2,1
pearson chi-squared statistic,pearson chi-squared statistic,1,1
estimators,estimators,1,2
high-dimensional ssymptotics,high-dimensional ssymptotics,1,1
stochastic variable selection.,stochastic variable selection.,1,0
variational methods,variational methods,3,0
age-adjusted incidence rates,age-adjusted incidence rates,1,6
empirical bayes estimates,empirical bayes estimates,1,3
improper distribution,improper distribution,1,2
double sampling,double sampling,2,6
indirect evidence,indirect evidence,1,6
multivariate survival data,multivariate survival data,2,6
quasiconformal maps,quasiconformal maps,2,6
human brain mapping,human brain mapping,1,7
modified bessel function,modified bessel function,1,7
wavelet coherence,wavelet coherence,1,4
rank sum statistic,rank sum statistic,1,8
density region,density region,3,8
dynamic linear models,dynamic linear models,4,0
sample maximum,sample maximum,1,4
binary partition,binary partition,1,8
tags analysis,tags analysis,1,2
efficient dimension reduction,efficient dimension reduction,1,6
dynamic random graph,dynamic random graph,1,5
admissibility,admissibility,10,1
expression quantitative trait loci data,expression quantitative trait loci data,1,7
kernel matrices,kernel matrices,2,0
trend,trend,3,6
modifiable areal,modifiable areal,2,7
efficient test,efficient test,1,4
undirected graph,undirected graph,1,6
chain graph,chain graph,6,8
support vector pursuit,support vector pursuit,1,6
hypergraph,hypergraph,1,2
absolute risk,absolute risk,1,7
thresholding rule,thresholding rule,1,8
spatial mixture model,spatial mixture model,1,6
prohorov metric,prohorov metric,1,2
stable distribution,stable distribution,2,6
generalised regression model,generalised regression model,1,2
medical images,medical images,1,7
phase i-ii clinical trial design,phase i-ii clinical trial design,1,0
marginal positivity,marginal positivity,1,5
stochastic order relations,stochastic order relations,1,7
nonasymptotic minimax,nonasymptotic minimax,1,4
inference for,inference for,1,6
hypervariance,hypervariance,2,1
natural cubic spline,natural cubic spline,2,5
bayes linear methods,bayes linear methods,1,4
normal linear regression,normal linear regression,1,2
variable weighted,variable weighted,1,4
root n consistency,root n consistency,1,7
integral operator,integral operator,2,8
image registration,image registration,1,7
parent graph,parent graph,1,1
density ratio estimation,density ratio estimation,1,2
varying-effect model,varying-effect model,1,6
slow convergence rate,slow convergence rate,1,4
circular skewness,circular skewness,1,1
proportional hazard,proportional hazard,1,1
asymptotic test,asymptotic test,2,0
boundary estimate,boundary estimate,1,8
model specification,model specification,1,8
constrained fisher,constrained fisher,1,6
categorical outcome model,categorical outcome model,1,3
kaplan-meier estimator,kaplan-meier estimator,9,4
clustering of extremes,clustering of extremes,1,0
information bounds,information bounds,1,5
structured additive,structured additive,1,1
omnibus test,omnibus test,1,0
spiked covariance,spiked covariance,4,0
core-mantle boundary,core-mantle boundary,1,4
local mass,local mass,1,8
moment density function,moment density function,1,8
bias reducing,bias reducing,1,0
composite endpoint,composite endpoint,2,8
high-dimension-low-sample-size,high-dimension-low-sample-size,1,6
convergence,convergence,6,2
autocorrelation wavelet,autocorrelation wavelet,1,3
log-density estimation,log-density estimation,1,4
function of,function of,1,1
poisson intensity,poisson intensity,1,3
l-1-type penalty,l-1-type penalty,1,1
particle swarm optimization,particle swarm optimization,1,8
roy's largest,roy's largest,1,4
asymptotic posterior normality,asymptotic posterior normality,1,3
expectation-maximization,expectation-maximization,4,2
convex regression,convex regression,2,2
generalised fourier expansion,generalised fourier expansion,1,4
alternating directions method of multipliers,alternating directions method of multipliers,1,3
aggregation methods,aggregation methods,1,4
deviance,deviance,1,4
spot variance,spot variance,1,8
multivariate t-distribution,multivariate t-distribution,3,3
